Hora,DPN,FPM
15:01:36,2.42,-6.01
15:01:37,2.95,-6.01
15:01:38,2.95,-6.18
15:01:39,2.6,-6.01
15:01:40,2.95,-6.01
15:01:41,2.95,-6.01
15:01:42,2.95,-6.01
15:01:43,2.95,-6.01
15:01:44,2.95,-6.01
15:01:45,2.95,-6.01
15:01:46,2.78,-6.01
15:01:47,2.95,-6.01
15:01:48,1.71,-6.01
15:01:50,2.95,-6.01
15:01:51,2.95,-6.01
15:01:52,2.95,-6.01
15:01:53,2.95,-6.01
15:01:54,2.24,-6.01
15:01:55,2.6,-6.01
15:01:56,2.95,-6.01
15:01:57,2.95,-6.01
15:01:58,2.42,-6.18
15:01:59,1.89,-6.01
15:02:00,2.78,-6.01
15:02:01,1.71,-6.01
15:02:02,2.6,-6.01
15:02:03,2.78,-6.01
15:02:04,2.78,-6.01
15:02:05,2.42,-6.01
15:02:06,2.78,-6.01
15:02:07,2.78,-6.01
15:02:08,2.42,-6.01
15:02:09,2.95,-6.01
15:02:10,2.24,-6.01
15:02:11,2.6,-6.01
15:02:13,2.07,-6.01
15:02:14,2.95,-6.01
15:02:15,2.24,-6.01
15:02:16,2.95,-6.01
15:02:17,2.95,-6.01
15:02:18,2.95,-6.01
15:02:19,2.42,-6.01
15:02:20,2.6,-6.01
15:02:21,2.95,-6.01
15:02:22,2.95,-6.01
15:02:23,2.6,-6.01
15:02:24,2.24,-6.01
15:02:25,2.95,-6.01
15:02:26,1.71,-6.01
15:02:27,2.95,-6.01
15:02:28,2.78,-6.01
15:02:29,2.78,-6.01
15:02:30,2.24,-6.01
15:02:31,2.95,-6.01
15:02:32,2.95,-6.01
15:02:33,2.95,-6.01
15:02:34,2.78,-6.01
15:02:35,2.95,-6.01
15:02:37,2.6,-6.01
15:02:38,2.6,-6.01
15:02:39,1.71,-6.01
15:02:40,2.95,-6.01
15:02:41,2.78,-6.01
15:02:42,2.95,-6.01
15:02:43,2.95,-6.01
15:02:44,2.78,-6.01
15:02:45,2.42,-6.01
15:02:46,2.95,-6.18
15:02:47,2.78,-6.01
15:02:48,2.78,-6.01
15:02:49,2.07,-6.01
15:02:50,2.95,-6.01
15:02:51,2.78,-6.01
15:02:52,2.95,-6.01
15:02:53,2.95,-6.01
15:02:54,2.42,-6.01
15:02:55,2.78,-6.01
15:02:56,3.31,-6.01
15:02:57,2.95,-6.01
15:02:59,2.78,-6.01
15:03:00,2.95,-6.01
15:03:01,2.42,-6.01
15:03:02,2.95,-6.01
15:03:03,2.95,-6.01
15:03:04,2.6,-6.01
15:03:05,2.78,-6.01
15:03:06,2.78,-6.01
15:03:07,2.78,-6.01
15:03:08,.83,-6.01
15:03:09,2.95,-6.01
15:03:10,2.42,-6.01
15:03:11,2.24,-6.01
15:03:12,2.78,-6.01
15:03:13,2.42,-6.01
15:03:14,2.24,-6.01
15:03:15,2.42,-6.01
15:03:16,2.78,-6.01
15:03:17,1.54,-6.01
15:03:18,2.95,-6.01
15:03:19,3.31,-6.01
15:03:21,1.71,-6.01
15:03:22,2.6,-6.01
15:03:23,2.78,-6.01
15:03:24,2.6,-6.01
15:03:25,2.95,-6.01
15:03:26,2.95,-6.01
15:03:27,2.95,-6.01
15:03:28,2.6,-6.18
15:03:29,2.78,-6.01
15:03:30,2.95,-6.01
15:03:31,2.24,-6.01
15:03:32,2.95,-6.01
15:03:33,2.07,-6.01
15:03:34,2.95,-6.01
15:03:35,2.6,-6.01
15:03:36,2.78,-6.01
15:03:37,2.6,-6.01
15:03:38,2.78,-6.01
15:03:39,2.95,-6.01
15:03:40,2.95,-6.01
15:03:41,2.95,-6.01
15:03:42,2.95,-6.01
15:03:43,2.24,-6.01
15:03:45,2.95,-6.01
15:03:46,2.78,-6.01
15:03:47,2.07,-6.01
15:03:48,2.24,-6.01
15:03:49,2.42,-6.01
15:03:50,2.95,-6.01
15:03:51,2.78,-6.01
15:03:52,2.78,-6.01
15:03:53,2.42,-6.01
15:03:54,2.95,-6.01
15:03:55,2.42,-6.01
15:03:56,2.78,-6.01
15:03:57,2.42,-6.01
15:03:58,1.54,-6.01
15:03:59,2.42,-6.01
15:04:00,2.07,-6.01
15:04:01,1.71,-6.01
15:04:02,1.89,-6.01
15:04:03,2.78,-6.01
15:04:04,2.78,-6.01
15:04:05,2.6,-6.01
15:04:06,2.6,-6.01
15:04:08,2.95,-6.01
15:04:09,2.95,-6.01
15:04:10,2.6,-6.01
15:04:11,2.6,-6.01
15:04:12,2.95,-6.01
15:04:13,2.95,-6.18
15:04:14,2.6,-6.01
15:04:15,2.78,-6.01
15:04:16,3.31,-6.01
15:04:17,2.78,-6.18
15:04:18,2.24,-6.01
15:04:19,1.36,-6.01
15:04:20,2.42,-6.01
15:04:21,2.95,-6.01
15:04:22,2.95,-6.18
15:04:23,2.95,-6.01
15:04:24,2.95,-6.01
15:04:25,2.95,-6.01
15:04:26,2.42,-6.18
15:04:27,1.89,-6.01
15:04:28,2.6,-6.01
15:04:29,2.95,-6.18
15:04:31,2.78,-6.01
15:04:32,2.95,-6.01
15:04:33,2.95,-6.01
15:04:34,2.95,-6.01
15:04:35,2.95,-6.01
